"name","institution"
"Vern L. Bengtson","University of southern california"
"KELLY CORBETT","Wake Forest University"
"N.R Niemeijer","Laboratorium Diephuis BV, Groningen, The Netherlands"
"R.A. Maller","University of Western Australia"
"Leslie W. Kennedy","Department of Sociology, The University of Alberta, Edmonton, Canada"
"Anita O'toole","Kent State University"
"Richard M. Barton","University of New Hampshire"
"Rhonda Wiegman","University of Colorado Health Sciences Center"
"Leslie W. Kennedy","The University of Alberta"
"Istvàn Szapudi","Cornell University"
"Robert D. Herman","Cookingham Institute of Public Affairs, Bloch School of Business and Public Administration University of Missouri"
"John T.E Richardson","Department of Human SciencesBrunel UniversityUxbridgeUK"
"Leslie Kennedy","The University of Alberta"
"John Richardson","Brunel University"
"Frits Boer","N/A"
"Frits Boer","N/A"
"Eric L Dey","University of Virginia"
"María Sánchez-Yélamo","Polytechnic University of Madrid"
"Patrick Holland","Firebaugh-Las Deltas Unified School District, California"
"Christopher Bagley","Faculty of Social Work and Alberta Children's Hospital, University of Calgar"
"William Doerner","Florida State University"
"Ahmed Abdel-Khalek","Kuwait University"
"LJ Greenfield","University of Michigan Hospitals"
"Thomas Harford","National Institute on Alcohol Abuse and Alcoholism"
"John Duckitt","University of the Witwatersrand"
"Michael Hennessy","Emory University"
"Barbara M. Byrne","University of Ottawa"
"Douglas M. Klieger","Villanova University, Villanova"
"Joann Miller","Purdue University"
"Joanne Langley Miller","Purdue University, USA"
"Hamid Pourjalali","University of Southwestern Louisiana"
"W.L. Adamowiczl","University of Alberta, Edmonton, Canada"
"Merrill Hiscock","University of houston"
"James Randall","University of Saskatchewan"
"Joann Langley Miller","Purdue University"
"Joann Langley Miller","Purdue University"
"Sarah Samoluk","Saint Mary's University"
"A. Højer Christensen","Hvidovre University Hospital and Sundby Hospital, Copenhagen"
"Rosalind Murray-Harvey","University of South Australia"
"C Tomkovick","american university"
"Michael Hennessy","Emory University"
"Jeffry Will","University of North Florida"
"Howard H. Goldman","University of Maryland School of Medicine"
"Berggren Ulf","Göteborg University"
"Bryan Byers","Valparaiso University"
"Candace Schau","University of New Mexico"
"Micheal Hennessy","Emory university"
"Bert M. Balk","Erasmus University Rotterdam"
"Douglas A.MacDonald","University of Detroit Mercy"
"Jack Kleijnen","Tilburg University"
"Douglas A. Macdonald","Windsor, Ontario, Canada"
"Barbara A. Gutek","University of Arizona"
"Bert M. Balk","N/A"
"Paticia Frazier","University of Minnesota"
"Robert D. Herman","Cookingham Institute of Public Affairs, Bloch School of Business and Public Administration University of Missouri"
"Bert M. Balk","Erasmus University Rotterdam"
"Fred B. Bryant","Loyola University Chicag"
"M. Tom Basuray","Towson State University"
"Melinda Davis","School of Public Health and the Director of Community "
"Abdullah Pooyan","Wright State University"
"Randolph Ellsworth","Wichita State University"
"Abdullah Pooyan","Wright State University"
"Mark Davis","{}"
"Emerson Eggerichs","Michigan State University"
"Dianne Harrison","The Valley Hospital"
"Abdullah Pooyan","Wright State University"
"Steven Sherman","Department of Endocrine Neoplasia and Hormonal Disorders, Division of Internal Medicine"
"Elisabeth Taylor","University of New York at Albany"
"Abdullah Pooyan","Wright State University"
"Abdullah Pooyan","Wright State University"
"Randolph Ellsworth","Wichita State University"
"Sally Ward","University of New Hampshire"
"A. Zaitman Zaitman","Vrije Universiteit Amsterdam"
"Dennis J. Kear","Wichita State University, Kansas, USA"
"Meoghan Byrne","University of Delaware"
"Randolph A. Ellsworth","Wichita State University"
"T Healdmoore","University of Oklahoma"
"Deborah Barton","Ball State University"
"Linda D. Kuhn","Database Marketing Manager at Maritz Perfor"
"A Zaitman","Amsterdam Psychiatric Centre"
"William B. Michael","University of Southern California"
"Linda Klebe Trevino","The Pennsylvania State University"
"Wigton RS","University of Nebraska Medical Center"
"Bob D.Cutler","University of North Texas"
"Daniel Schulman","Center for the Study of the Environment and Society Department of Sociology and Interdivisional Program in StatisticsUCLAUSA"
"R. F. Saltz","Prevention Research Center, Berkeley, California"
"Teo Soo","National University of Singapore"
"C.K. Luk","University of Toronto"
"Linda Kuhnb","Maritz Performance Improvement Company USA"
"William B. Michael","University of Southern California"
"Linda D. Kuhn","Martiz Performance Improvement Company"
"B. Vanoss","VanossDepartment of Psychology, University of San Francisco"
"Ahumada OA","{}"
"Ahmed Ghaleb","Cairo University"
"S. TENJARLA","Mercer university"
"S. Tenjarla","Mercer University"
"M. Darmi","IACR"
"Kent McClelland","Grinnell College"
"S.H. HUANG","Texas Tech University"
"S. TENJARLA","Mercer University"
"Piet Hermkens","University of Utrecht"
"S. TENJARLA","Mercer university"
"Don Esslemont","Massey University"
"Kent Mc Clelland","Shamrock Foods Company"
"S. TENJARLA","Mercer university"
"Robert E. Fay","U.S. Census Bureau"
"Rhonda W Dick","University of North Texas"
"Mark Klebanoff","Division of Prevention Research, National Institute of Child Health and Human Development, National Institutes of HealthBethesda, MD"
"Kent McClelland","Grinnell College"
"Margaret Nielsen","Michigan State University"
"David Bullock","University of Arizona"
"Tom Smith",NA
"Louise Himmelman","Cambridge University"
"C. Chasse","Universite de Bretagne Occidentale"
"DAVID STEINBERG","University Ramat-Aviv"
"W.C. Shaw","{}"
"William Micheal","University of Southern California"
"JE Simpson","american university"
"Claudia Wright","California State University"
"Martha Storandt","WASHINGTON UNIVERSITY"
"Chen Chin-Yi","University of Southern California"
"G. Gray Eaton","Oregon Regional Primate Research Center"
"Arlen Gullickson","WESTERN MICHIGAN UNIVERSITY"
"Neville J. King","Monash University"
"J.D. Salinger John Steinbeck","Henry David Thoreau"
"W Myszka      2","Instytut Materiałoznawstwa i Mechaniki Technicznej"
"S.K. / J J. Ford / Summers","Department of Psychology at the University of Melbourne"
"Patricia Kipnis","California State University"
"Robert A.Vogel","University of Maryland"
"J.J Summers","Department of Psychology at the University of Melbourne"
"P. Knipschild","University of Limburg"
"Jihong Zhao","Washington State University"
"Allan Eng","University of Toronto"
"André Rougemont","Institute of Social and Preventive Medicine, University of Geneva"
"Zhao J","Washington State Univ"
"Mario Chica-Olmo","University of Granada"
"Gabriel Ramirez","SUNY at Binghamton"
"CJ Luzar","Cambridge"
"Bernard M.S. van Praag","SEO, Foundation for Economic Research, University of Amsterdam, The Netherlands"
"Bernard van Praag","University of Amsterdam"
"MJE Danner","Department of Sociology and Criminal JusticeOld Dominion UniversityNorfolk"
"Paul Nardon","INSA Laboratoire de Biologie Appliquée"
"LOUIS R. CARABALLO","New York State Psychiatric institute"
"Frankr Guadagnolo,","pennsylvania state university"
"A. H. Welsh","Australian National University"
"Santhat Sermsri","Mahidol University"
"Eileen Nelson","James Madison University"
"W.Andrew Achenbraum","Institute for spirituality and health (Houston,Texas 77054)"
"Andrew .Achenbaum","University of Houston"
"WILLIE PEARSON","Wake Forest University"
"A. H. Welsh","Australian National university"
"J.G.R de Monchy","Department of Allergology, University Hospital Groningen, The Netherlands"
"David R. Forde","Department of Criminology and Criminal Justice, University of Memphis"
"Richard L. Schwab","Drake University"
"Spero M. Manson","Colorado School of Public Health"
"David R. Forde","University of Memphis"
"Alexander Szalay","Cornell University"
"Richard D. Heimovics","Bloch School of Business and Public AdministrationUniversity of Missouri"
"Richard Heimovics","{}"
"David Forde","University of Memphis"
"Michiel Westenberg","Leiden University"
"Simon Kim","University of Southern California"
"Loretta Young","Faculty of Social Work and Alberta Children's Hospital, University of Calgar"
"P. Michiel Westenberg"," Leiden University"
"Tai Ho","Western Carolina University"
"MC Proctor","University of Michigan Hospitals"
"Bridget Grant","National Institute on Alcohol Abuse and Alcoholism Rockville"
"Monica L. McCoy","Villanova University, Villanova"
"Janet Kimbrell","Oklahoma State University"
"M. Williams","Intelligent Marketing Systems, Edmonton, Canada"
"Kathleen Kalil","Wayne County Community College"
"Gilles Viaud","University of Saskatchewan"
"Grace Pretty","{}"
"P. Matzen","Hvidovre University Hospital and Sundby Hospital, Copenhagen"
"M Hennessy","american university"
"Brenda Seals","National Center for Infectious Disease, Centers for Disease Control and Prevention"
"John Cochran","University of South Florida"
"Carlsson Sven G.","Goteborg University"
"Richard A.Zeller","Bowling Green State University"
"Ann Del Vecchio","Evaluation Assistance Center-West"
"brenda sales","National Center for Infectious Disease, Centers for Disease Control and Prevention"
"Harris L. Friedman","Georgia State University Professor of Psychology"
"Andrea Olson","University of Minnesota"
"Richard D. Heimovics","Bloch School of Business and Public AdministrationUniversity of Missouri"
"Richard Heimovics","{}"
"Paul Yarnold","{}"
"Salvatore A. Reina","University of Genoa, Italy"
"Michael Hennessy","University of Delaware"
"Naghmeh NEJAT","University Putra Malaysia"
"D W Cowling","Tobacco Control Section, California Department of Health Services, Sacramento Tobacco Control Section, California, USA"
"HAJI MIRRAHIMI S.D.","ISLAMIC AZAD UNIVERSITY"
"Anne Collins McLaughlin","North Carolina State University Raleigh, NC"
"Brandon Applegate","University of South Carolina"
"Doug Currivan","RTI International"
"Sara Hart","The Ohio State University"
"Subir Ghosh","University of California, Riverside"
"Michael Boysun","Washington State Department of Health"
"Jessica Tran","University of Washington"
"John Cochran","University of South Florida"
"Guillermina Jasso","New York University"
"Levent Biber","Iowa State University"
"Michael Hyman","New Mexico State University"
"Antoinette Weibel","University of Zurich"
"Stijn Vanheule","Ghent University"
"J.G. Bockheima","Department of Soil Science, University of Wisconsin"
"Esau Tovar","Santa Monica College"
"Wim Verbeke","University of Ghent"
"Denise Paquette  Boots","Department of Criminology, University of South Florida, 4202 E. Fowler Avenue, SOC #107, Tampa, FL 33620-8100, USA.denisepaquette@hotmail.com"
"Sujata Kapoor","Jaypee Business School"
"István Szapudi","Fermi National Accelerator Laboratory, University of Hawaii"
"S Wilkinson","Wolfson Wellcome Biomedical Laboratory"
"Jessica J. Tran","University of Washington, Seattle, WA, USA"
"Hairul Hashim","Universiti Sains Malaysia"
"Yu Zonghu","JiangXi Normal University"
"Erik Falkum","University of Oslo"
"Jeffrey Roelofs","Maastricht University"
"Christophe P. Henry","Université Claude Bernard Lyon I"
"Scott Chapman","Trinity University"
"Jens Rowold","Centre for Continuing Education, TU Dortmund University, Dortmund, Germany"
"Ilsoo Kim","Mokpo National University"
"Jean-Philippe Nordmann","Hôpital des Quinzes-Vingt, Paris, France"
"Alicia Robbins","University of Washington"
"DENISE PAQUETTE BOOTA","University of South Florida"
"Jean Philippe Nordmann","Hôpital des Quinzes-Vingt, Paris, France"
"Yasuo Miyazaki","College Student Journal"
"Sheung-Tak Cheng","UNIVERSITY OF HONG KONG"
"Christine Paul","Centre for Health Research and Psycho-oncology"
"Fredric D. Wolinsky","Indiana University Medical Center"
"Wen-han ZHANG","Meilin Hospital in Futian District"
"Betts, Joseph E.","Student Engagement Instrument (SEI): Results from middle and high school students. School Psychology Quarterly"
"Stephen Rosenman","Centre for Mental Health Research, Australian National University"
"Juliana Wilson","Gale Academic Onefile"
"J. Winchell","Kent State University College"
"Catherine Doit","Paris Diderot University"
"Darrell M. Hull","University of North Texas, Denton, TX, USA"
"H. S. Horst","Wageningen Agricultural University"
"Matthew Martens","University at Albany"
"Mark Shevlin","University of Ulster , Magee Campus"
"Allan A. Nielsen","IMM, Department of Mathematical Modelling, Technical University of Denmark"
"Duncan G. Campbell","Division TEACCH, CB# 7180Medical School Wing EChapel Hill"
"Yi-Chin Lin","Institute of Biomedical Sciences, Academia Sinica, Taipei"
"A Alder","No institution listed"
"Ann Marie Connor","HortResearch, Ruakura Research Centre"
"Thomas Fielder","Transgenic Mouse Facility, University Laboratory Animal ResourcesUniversity of California-IrvineIrvineUSA"
"Kwadwo Bosompra","University of Vermont"
"Mohamad Shaaf","University of Central Oklahoma U.S.A."
"R.E Lawrence","Pritzker School of Medicine, University of Chicago"
"Carsten Maurischat","University Hospital HamburgEppendorf, Germany"
"Roger Beach","Bradford University Management Centre"
"GARY KING","Harvard University"
"Michiko Morimoto","Faculty of Health Science, Okayama University"
"James Friedrich","Willamette University"
"Heiko Rauhut","University of Zurich"
"Chas Koermer","Baldwin‐Wallace College"
"PAUL BAGINSKI","Institut Camille Jordan, Université Claude Bernard Lyon 1, Villeurbanne, France"
"Consol Marcet","University of Barcelona"
"Peter W.A. Roming","The Pennsylvania State Univ. (United States)"
"Jack Duncan","University of Alabama in Birmingham"
"Elizabeth Ripley","Virginia Commonwealth University"
"S Nico","Journal of Occupational and organizational Psychology, 2000"
"Leena Suntornsuk","Mahidol University,"
"Zachary Steel","University of New South Wales"
"Lennon, Mary Clare","Columbia Univ., New York, NY. National Center for Children in Poverty."
"Valmi Sousa","The University of Kansas, School of Nursing"
"Rick Newby","Department of Accounting and Finance at The University of Western Australia."
"Peter H. Langford","Macquarie University"
"Daniel Bontempo","Pennsylvania State University"
"Pamela A. Lipsett","Johns Hopkins University School of Hygiene and Public Health (P.J.P.), Baltimore, Maryland."
"John Oakes","University of Minnesota"
"Ronald Poppe","University of Twente, PO"
"Adrian Bull","Southern Cross University"
"Zdravko Marjanovic","York University"
"Niko Papadopoulos","University of Crete"
"S. Samita","Department of Crop Science Faculty of Agriculture University of Peradeniya Peradeniya"
"Guilhermina Jasso","New York University"
"Heinz Frohne","Johannes Gutenberg-Universität Mainz"
"Nicholas Schweitzer","Arizona State University"
"Ma Elena Medina-Mora","Instituto Nacional de Psiquiatria Ramón de la Fuente"
"Ellen Melbye","Diakonhjemmet Hospital"
"Susan B. Sorenson","School of Public Health, University of California"
"Pierre Petitgas","IFREMER"
"R. Ungruhe","Münster University"
"Nate Furman","Green Mountain College"
"Robert C. Nichol","University of Chicago"
"Richard Cosway","Royal College of Physicians of Edinburgh"
"Patrick Corrigan","Illinois Institute of Technology"
"Gregory Y.H.","University of Birmingham Centre for Cardiovascular Sciences, City Hospital, Birmingham, UK"
"Nelson Wood","University of Mississippi School of Dentistry"
"Terry Comnick","California State University"
"Jan Van den Brakel","Department of Statistical Methods - Division Research and Development Statistics Netherlands"
"Molly M. McNett","American Association of Neuroscience Nurses"
"Robert Davies","University of Oviedo / Department of Psychology, School of Social Sciences and Law Oxford Brookes University"
"Kathleen A. Foley Foley","Received from Outcomes Research & y Mar gement, Us Medical & Scientific Affairs KAF EMA TEMI Merck & Co, Ine, West Paint Par and Counter for HealthCare and Bailey Research 0Vi Pennsylvania State university.kathleen_foley@merck.com"
"Satinderpal Sandhu","Case Western Reserve University"
"Zeki Simsek","University of Connecticut"
"Lauren D. Appelbaum","Center for Women and Work, Rutgers University"
"L. Haines","Royal College of Paediatrics and Child Health"
"Emad Mushtaha","Ajman University"
"Gerrit Rooks","Department of Sociology/ICS, Utrecht University"
"Thomas Guterbock","University of Virginia Sociology Department"
"Adamantios Diamantopoulos","University of Wales, Swansea"
"WenYi Zhao","University of Maryland"
"Francis Caro","University of Massachusetts Boston"
"Peter H. Rossi","University of Massachusetts"
"Tova Rosenbloom","Bar Ilan University, Ramat-Gat, 52900, Israel"
"Dr. Rajat Rastogi","Civil Engineering Department Engineering College, KOTA"
"Kasia Karpinska","Utrecht School of Economics"
"Alessandro Di Bucchianico","Eindhoven University of Technology"
"John Dovido","Colgate University"
"Linda S. Buyer","Governors State University Office of Institutional Research"
"Grady Hanrahan","California State University"
"Sandra Davidson","Monash University"
"Etienne Blais","University of Montreal, International Centre for Comparative Criminology, National Institute for Public Health of Quebec"
"Ileana Agnelli","Università degli Studi di Torino"
"Mary Clare Lennon","Columbia University"
"HE Zheng-chu","Chinese Academy of Social Sciences,Rural Development Institute"
"Lenny Chiang-Hanisko","Kent State University"
"Richard C. Gilman","APA Division 16 (School Psychology)"
"Daniel Kliebenstein","UC Davis"
"Mary Lennon","Columbia University"
"Susanne Neckermann","University of Zurich"
"Zhong Ying","School of Highway,Chang'an University,Xi'an"
"Cristophe Cerisara","LORIA Laboratoire Lorrain"
"C. J. McKenna","Departments of Clinical Cardiology, Epidemiology and Biostatistics"
"Melinda F. Davis","Department of Pediatrics, Arizona Health Science Center, University of Arizona, 10 Tucson, AZ, USA"
"Aaron Lorenz","University of Minnesota"
"Justyna Mojsa","Jagiellonian University, Krakow, Poland"
"Sergio Herzog","Hebrew University of Jerusalem"
"Kualla Lumpur","1 University Malaya, Department of Anthropology"
"Micha Strack","Universität Göttingen"
"Wenjun Ma","Guangdong Center for Disease Control and Prevention"
"Peter Cornish","Department of Physics, University of Illinois"
"Deborah Curtis","American Educational Research Association"
"Kathleen Griffiths","Centre for Mental Health Research, The Australian National University"
"Mark Payton","Oklahoma State University"
"Richard J. Wall","University of Washington"
"A. Stoimenow","Humboldt University Berlin"
"Zeena Harakeh","Utrecht University"
"Mihir Pramanik","University of Calcutta"
"Antonio Terraciano","National Institute on Aging"
"Lu Yan","Infection Management Department, Affiliated Shengjing Hospital of China Medical University, Shenyang 110004, China"
"Eliane Loiola","Federal University of Rio de Janeiro, Brazil"
"Josep Blanch","Universidad Autónoma de Barcelona"
"Frédéric Bertrand","IRMA - Institut de Recherche Mathématique Avancée,Société Française de Statistique"
"Terrence Fong","The Robotics Institute, Carnegie Mellon University, Pittsburgh, PA 15213, USA"
"Jan van den Brakel","Maastricht University"
"Sergei Radaev","National Institute of Allergy and Infectious Diseases"
"Thomas Dauphinee","New Mexico Workers' Compensation Office"
"Claes Wohlin","Lund UniversitySweden"
"Jennifer Boisvert","Department of Phsycology  University of Regina  Regina Canada"
"Beverly L. Fortson","Department of Psychology, West Virginia University, Morgantown, WV.beverlyf@usca.ed"
"Nazmul Chowdhury","University of Dhaka"
"Cary Kart","Miami University, Ohio"
"Eric Moskowitz Moskowitz","Jefferson Medical College, Philadelphia, Pennsylvania"
"Stephane Hess","Centre for Transport Studies, Imperial College"
"Amy Abernethy","Department of Palliative and Supportive Services, Flinders University"
"C. Beierlein","Leibniz Institute for the Social Sciences"
"Ding Wan","Department of Neurology,Xuanwu Hospital"
"Balram Suman","University of Minnesota"
"Mehdi Taghian","La Trobe University"
"Ruth Ludwick,","Kent State University, College of Nursing, Kent, Ohio."
"Nibras Ahmed","St. Cloud State University"
"Scott M. Hofer","The Pennsylvania State University,"
"Judson Vasconcelos","Texas Tech University"
"William Launder","University of Stirling, Highland Campus, Old Perth Road, Inverness, Scotland IV2 3FG, UK"
"Yuanlong Liu","Western Michigan University"
"CHIARA TAGLIONI","University of Perugia"
"M Nizama-Valladolid","Instituto Nacional de Salud Mental"
"Nalini Dharmarajan","Universiti Teknologi MARA (UiTM)"
"Elvira Nardo","Università degli Studi della Basilicata"
"Stephen W. Baron","Queen's University"
"Meike Müller-Engelmann","Department of Family Medicine, University of Marburg, Germany"
"Prabir Kumar Saha","Indian Institute of Technology Guwahati"
"Lisa Wallander","Malmö University, Stockholm University"
"Thierry Roques","Supply Chain Management Bordeaux Business School CRETLOG thierry.roques@bordeaux-bs.edu"
"Zhang Yanjuan","Second Convalescent Hospital of Shenyang Military Command"
"C Gross","Institut für Sozialwissenschaften/Soziologie, Christian-Albrechts-Universität zu Kiel"
"A.Alexander Beaujeana","Baylor Psychometric Laboratory, Baylor University"
"Richard L. Brown","Department of Family Medicine, University of Wisconsin-Madison Medical School"
"Charbel Jose","College of Economics, Business Administration and Accounting (FEA-Ribeirao Preto), University of Sao Paulo, Avenida Bandeirantes 3900, FEA-RP/USP, 14040-900 Ribeirao Preto-SP, Brazil"
"Bimal Samanta","Asansol Polytechnic"
"Paul Ritvo","York University"
"Michael Brizek","University of South Carolina"
"Ibtissam Sabbah,","Department of Biostatistics, Faculty of Medicine and Pharmacy, Besançon, France"
"Zou Tong-qing","Supply & Drainage Water Plant,YueYang Petroleum and Chemical Gene ral Plant，YueYang，Hunan"
"David Canna","The University of Western Ontario"
"Dennis Ang","Indiana University School of Medicine"
"Chris Lonsdale","University of Otago"
"Wang Qingbin","American Agricultural Economics Association (AAEA)"
"Oliver Edwards","University of Central Florida"
"G.N. Marshall","Confirmatory factor analysis of the Consumer Assessment of Health Plans Study (CAHPS)"
"Peter Rossi","University of Massachusetts, Amherst"
"S. Gulu Gambhir","Department of Engineering Management and Systems Engineering, The Georgia Washington University"
"DAVID ANDERSON","The University of Tennessee"
"Tong Jingjing","CITY UNIVERSITY OF HONG KONG"
"Tim Reeskens","Department of Political Science,KU Leuven,Leuven, Belgium"
"Luigi Naldi","Department of Dermatology, University of Geneva Geneva, Switzerland & Department of Dermatology, Bergamo General Hospital Bergamo, Italy.luiginal@tin.it"
"Michael Emerson","Rice University"
"K Duncan","PP Schools"
"Sarah Lamb","Warwick Medical School, University of Warwick"
"Karen Budd","Kent State University School of Nursing"
"Yuk Kuen Wong","Griffith University, Australia"
"Hans R. Heinimann","Swiss Federal Institute of Technology, Forest Engineering"
"Valdiney Gouveia","Universidade Federal da Paraíba"
"Shinwon Kim","Southwest Washington Regional Transportation Council"
"Kathleen Adamie","College of Nursing, Kent State University"
"Simone Engelsbel","Our Lady Hospital - Amsterdam"
"Irene Álvarez","Centro de Salud Mental de Adultos de Sarrià-Sant Gervasi"
"Joan Nassauer","University of Michigan"
"June Groden","The Groden Center, Providence"
"Caroline Ramirez","University of California, Davis, CA"
"Isabelle Niedhammer","Not Available"
"Kenta Shigemori","Seirei Christopher University"
"Alan A. Brandyberry","Department of Management and Information Systems Kent State University"
"Alberto Garcia-Diaz","University of Tennessee"
"Kristi Wright","University of Regina"
"Willem J.H. Van Groenendaal","Department of Information Systems and Auditing/Center for Economic Research (CentER), School of Management and Economics,"
"Svante Bjorklund","Linkoping University"
"Martin Laclaustra","Department of Cardiovascular Epidemiology and Population Genetics, Centro Nacional de Investigaciones Cardiovasculares (CNIC), Madrid, Spain.Department of Epidemiology and Welch Center for Prevention, Epidemiology and Clinical Research, Johns Hopkins University Bloomberg School of Public Health, Baltimore, MD, USA"
