"","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.website_url","Input.index","Answer.article_title","Answer.first_name1","Answer.first_name2","Answer.inst1","Answer.inst2","Answer.journal_name","Answer.last_name1","Answer.last_name2","Answer.reason_cannot_find","Approve","Reject"
"11","34ZTTGSNJY3NQVLCRL6GKMEHPR3QHB","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:17 PDT 2019",NA,NA,"39JEC7537WGQ0F47HURQ32CYOTTVCX","ADITFV2RDLVZJ","Approved","Fri Aug 30 04:10:26 PDT 2019","Fri Aug 30 04:17:14 PDT 2019","Fri Sep 06 04:17:14 PDT 2019","Tue Sep 03 10:28:46 PDT 2019","","",408,"83% (5/6)","83% (5/6)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",4,"What do nurses know and believe about patients with pain? Results of a hospital survey","Gillian","Dianne","Sunnybrook Health Sciences Centre , Toronto","The Valley Hospital","Journal of Pain and Symptom Management","Brunier","Harrison","{}","x",""
"12","3IVEC1GSLQEV0XWLU6JMVYMOU7FJ1E","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:46 PDT 2019",NA,NA,"32SVAV9L3HOIVR5QD6PTECURYXD3AN","AOGNU9MEFJKT8","Approved","Tue Sep 03 11:13:34 PDT 2019","Tue Sep 03 11:16:59 PDT 2019","Tue Sep 10 11:16:59 PDT 2019","Tue Sep 10 11:17:56 PDT 2019","","",205,"100% (1/1)","100% (1/1)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",5,"Development of the Farm Stress Survey: Factorial Structure, Reliability, and Validity","Bruce","Abdullah","University of North Dakota","Wright State University","Educational and Psychological Measurement","Eberhardt","Pooyan","{}","x",""
"13","3IVEC1GSLQEV0XWLU6JMVYMOU7FJ1E","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:46 PDT 2019",NA,NA,"3PJ71Z61R6H8G5H6YWXAUO4AT4L19Z","A1YDP15X5T2VY9","Rejected","Fri Aug 30 04:31:53 PDT 2019","Fri Aug 30 04:33:21 PDT 2019","Fri Sep 06 04:33:21 PDT 2019","","Tue Sep 03 10:28:47 PDT 2019","did not meet requirements",88,"35% (19/54)","35% (19/54)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",5,"Graduate training in statistics, methodology, and measurement in psychology: A survey of PhD programs in North America.","Leona","Steven","{}","{}","American Psychologist","Aiken","Sherman","there are no institutions","","did not meet requirements"
"14","3MDKGGG61R2KLMTNC697S00E0KMT6R","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:46 PDT 2019",NA,NA,"3LOZAJ85YFS56MH0KG32FA0XSDQ2X0","A3TG427HOFMVQU","Rejected","Fri Aug 30 04:26:53 PDT 2019","Fri Aug 30 04:33:51 PDT 2019","Fri Sep 06 04:33:51 PDT 2019","","Tue Sep 03 10:28:47 PDT 2019","did not meet requirements",418,"36% (4/11)","36% (4/11)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",6,"Dangerous Situations: Social Context and Fear of Victimization","Mark","{}","University of Texas","{}","Social Forces (Volume 68, Issue 3)","Warr","{}","There is only one author","","did not meet requirements"
"15","3MDKGGG61R2KLMTNC697S00E0KMT6R","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:46 PDT 2019",NA,NA,"3S96KQ6I9OJLSF6WCVMMMQ6VDZNDTG","A2EZBYNOFGDEMA","Approved","Tue Sep 03 11:18:28 PDT 2019","Tue Sep 03 11:18:34 PDT 2019","Tue Sep 10 11:18:34 PDT 2019","Tue Sep 10 11:18:56 PDT 2019","","",6,"100% (72/72)","100% (72/72)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",6,"gasgagg","asgasgsa","asgasgasg","gasggasg","asgaga","asgsag","gasgas","asgasg","sgag","","did not meet requirements"
"16","3TFJJUELSI4FH48B3I2EDDJYWTKC2A","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:27 PDT 2019",NA,NA,"3IXEICO794YM76RH28E8GKW3VM2T6N","A3IF74PEMRDQ8G","Approved","Fri Aug 30 04:12:02 PDT 2019","Fri Aug 30 04:20:58 PDT 2019","Fri Sep 06 04:20:58 PDT 2019","Tue Sep 03 10:28:47 PDT 2019","","",536,"90% (18/20)","90% (18/20)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",7,"A REVIEW AND EVALUATION OF THE PSYCHOMETRIC PROPERTIES OF THE JOB DIAGNOSTIC SURVEY","Tom D.","Elisabeth","University of New York at Albany","University of New York at Albany","Personnel Psychology, Volume43, Issue3  September 1990  Pages 467-500","Taber","Taylor","{}","x",""
"17","3MIVREZQVIDESLMKX69DXEU9H87QKF","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"30LB5CDZNEPNF7E16BN9T7NT3F50ZC","A29ZTF7JUO8F39","Rejected","Fri Aug 30 04:44:52 PDT 2019","Fri Aug 30 04:49:35 PDT 2019","Fri Sep 06 04:49:35 PDT 2019","","Tue Sep 03 10:28:46 PDT 2019","did not meet requirements",283,"4% (2/49)","4% (2/49)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",8,"factorial survey","Bruce J.","Abdullah","University of North Dakota","Wright State University","Development of the Farm Stress Survey: Factorial Structure, Reliability, and Validity","Eberhardt","Pooyan","{}","","did not meet requirements"
"18","3MIVREZQVIDESLMKX69DXEU9H87QKF","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3FQ5JJ512N3VB87M7GMXH4VT8QYKNZ","A2EZBYNOFGDEMA","Approved","Tue Sep 03 11:14:17 PDT 2019","Tue Sep 03 11:14:24 PDT 2019","Tue Sep 10 11:14:24 PDT 2019","Tue Sep 10 11:14:56 PDT 2019","","",7,"100% (72/72)","100% (72/72)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",8,"gsdgsdgsdg","sdgsdgsd","gsdg","gsdgsdgsd","gsdg","sdgsdg","gsdgsdgsd","sgsdgsdg","sdgsd","","did not meet requirements"
"19","3OCZWXS7ZPM0J5L4YEXBE3CXACPL50","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:47 PDT 2019",NA,NA,"3L6L49WXW2C67HCDIO3VG66BJSE45Q","A29ZTF7JUO8F39","Rejected","Fri Aug 30 04:54:40 PDT 2019","Fri Aug 30 04:55:42 PDT 2019","Fri Sep 06 04:55:42 PDT 2019","","Tue Sep 03 10:28:47 PDT 2019","did not meet requirements",62,"4% (2/49)","4% (2/49)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",5,"factorial survey","Michael C.","Randolph A.","N/A","N/A","Children's Attitudes Towards Reading: A National Survey","McKenna","Ellsworth","Not found","","did not meet requirements"
"20","3OCZWXS7ZPM0J5L4YEXBE3CXACPL50","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:47 PDT 2019",NA,NA,"3X31TUMD7Z13H7IFNT00ZXV5UPYL1V","A2EZBYNOFGDEMA","Approved","Tue Sep 03 11:15:36 PDT 2019","Tue Sep 03 11:15:43 PDT 2019","Tue Sep 10 11:15:43 PDT 2019","Tue Sep 10 11:15:56 PDT 2019","","",7,"100% (72/72)","100% (72/72)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",5,"gsdgsd","gsdgsd","gsdg","gsdgsdgsd","gsdgsdgsd","gsdgsd","sdgsdgsd","gsd","gdsgsdg","","did not meet requirements"
"21","3KG2UQJ0MK3F0R7NUJ1TP6BDB3CNQH","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:17 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3T3IWE1XG82FHOA1HHS6MPDUVNFTQL","A36QDQCCMVA7YF","Rejected","Fri Aug 30 04:20:32 PDT 2019","Fri Aug 30 04:21:36 PDT 2019","Fri Sep 06 04:21:36 PDT 2019","","Tue Sep 03 10:28:46 PDT 2019","did not meet requirements",64,"0% (0/2)","0% (0/2)","0% (0/0)","https://scholar.google.com.sg/scholar?start=20&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=1995""
",6,"Contrapower sexual harassment: The effects of student sex and type of behavior on faculty perceptions","Kathleen","Single","Illinois State University","{}","Plenum Publishing Corporation","McKinney","Author","{}","","did not meet requirements"
"22","3R15W654VE8PCR42I6LECE7O68CQLI","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3R2PKQ87NYNYNVWYVCMLR9RGBWZIMM","A2EZBYNOFGDEMA","Approved","Tue Sep 03 11:16:59 PDT 2019","Tue Sep 03 11:17:07 PDT 2019","Tue Sep 10 11:17:07 PDT 2019","Tue Sep 10 11:17:56 PDT 2019","","",8,"100% (72/72)","100% (72/72)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",9,"sdgsdgs","sdgsdgsdggsdgs","sdgsdgsdgsdgsd","dsgsdg","sdgsdgsgsdgsdgsd","dgsdg","gsdgsd","sdgsdg","gsdgsgg","","did not meet requirements"
"23","3R15W654VE8PCR42I6LECE7O68CQLI","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",2,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Tue Sep 03 11:28:45 PDT 2019",NA,NA,"3Z2R0DQ0JJTW0MQJPBDARLFQC7HE25","A29ZTF7JUO8F39","Rejected","Fri Aug 30 04:55:00 PDT 2019","Fri Aug 30 05:02:06 PDT 2019","Fri Sep 06 05:02:06 PDT 2019","","Tue Sep 03 10:28:46 PDT 2019","did not meet requirements",426,"4% (2/49)","4% (2/49)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",9,"factorial survey","Bruce J.","Abdullah","University of North Dakota","Wright State University","Development of the Farm Stress Survey: Factorial Structure, Reliability, and Validity","Eberhardt","Pooyan","{}","","did not meet requirements"
"24","3NQUW096N7NJKSNG14ASQJHZW88L9R","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:27 PDT 2019",NA,NA,"32ZKVD547H2NE1AIJKPP9NEXFO1B3A","A1XK5UV31RCAHC","Approved","Fri Aug 30 04:14:13 PDT 2019","Fri Aug 30 04:16:45 PDT 2019","Fri Sep 06 04:16:45 PDT 2019","Tue Sep 03 10:28:47 PDT 2019","","",152,"58% (11/19)","58% (11/19)","0% (0/0)","https://scholar.google.com.sg/scholar?start=0&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",10,"Reliability and factorial structure of the chinese version of the Beck Depression Inventory","Daniel","Single","The chinese University of hong kong","Single Author","Journal of Clinical Psychology","Shek","Author","{}","x",""
"25","34F34TZU7XE2PIEHDAJ00HWTMDTJ2V","3XAT7XIOX0GI69POTIHWJEWTOA0W8Q","Find the author and emails of articles","Click on the website link and find out the authors and their emails of the specified article.","data collection, website, data extraction","$0.20","Fri Aug 30 02:54:27 PDT 2019",1,"BatchId:3752080;OriginalHitTemplateId:926158632;",600,604800,"Sat Aug 31 02:54:27 PDT 2019",NA,NA,"3P529IW9K00U7MCNUSFLOZZZU8LFLB","A1XK5UV31RCAHC","Approved","Fri Aug 30 04:30:56 PDT 2019","Fri Aug 30 04:32:28 PDT 2019","Fri Sep 06 04:32:28 PDT 2019","Tue Sep 03 10:28:47 PDT 2019","","",92,"58% (11/19)","58% (11/19)","0% (0/0)","https://scholar.google.com.sg/scholar?start=10&q=""""factorial+survey""""&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=1990""
",1,"Factorial survey methods for studying beliefs and judgments","G","Single","N/A","N/A","Sociology Methods and Research","Jasso","Author","{}","x",""
