name,institution,delete
Laurent Marchal Bertrand,"Universitaria Konrad Lorenz, Bogotá",
Iris Kesternich,University of Leuven,
Rose Pfefferbaum,University of Oklahoma,
Dongmiao Wang,"School of Electrical and Electronic Engineering , The University of Manchester ,",
José Tomás,Universidad de Valencia (Spain),
Soumaya Gmar,Laboratory of Natural Water Treatment Center of Researches and Water Technologies Soliman Tunisia,
Sabina Baraković,Faculty of Traffic and Communications University of Sarajevo Sarajevo Bosnia and Herzegovina /.American University in Bosnia and HerzegovinaSarajevoBosnia and Herzegovina,
Christian Agyare,Kwame Nkrumah University of Science and Technology,x
W. Adamowicz,University of Alberta,
Armelle Mbaveng,"Institute of Pharmacy and Biochemistry, University of Mainz",
Fernando Santini,Faculdade SENACRS,
Shimels Hussien Mohammed,Tehran University of Medical Sciences,
Corine Buers,"Utrecht University School of Governance, Utrecht University",
Sanne Kruikemeier,"Political Communication, Amsterdam School of Communication Research, University of Amsterdam, The Netherlands.",
Karrie A. Shogren,University of Kansas,
E.L. CIUREA,University of Medicine and Pharmacy of Craiova,
Cleto Miranda-Neto,"Departamento De Matemática, Universidade Federal Da Paraíba",
Monica Martinez-Gomez,Universitat Politècnica de Catalunya (UPC),
Fu-Chun Wu,National Taiwan University,
Micaela Pinho,Portucalense University,
Natalia Maloshonok,"University Higher School of Economics (HSE), Moscow",
Scott Clifford,University of Houston,
Kukić Filip,"Strategic management and performance improvement department, Sport activities section, Abu Dhabi Police, UAE",
Maria Rosita Cagnina,University of Udine,
Silvana Montenegro,"Facultad de Ciencias Médicas, Universidad Nacional de Rosario, Rosario, Argentina",
Rebecca Fish,"Division of Cancer Sciences, School of Medical Sciences, Faculty of Biology, Medicine and Health, University of Manchester, Manchester, UK & Colorectal and Peritoneal Oncology Centre, Christie NHS Foundation Trust, Manchester, UK",
Michael Greenacre,"Universitat Pompeu Fabra, Barcelona, Spain",
Prasanthi Boddu,Almanhal,
Claus-Peter Ernst,Frankfurt University of Applied Sciences,
Ulf Liebea,"Institute of Sociology, University of Bern, Fabrikstrasse 8, CH-3012 Bern, Switzerland",
Brian Powell,"Department of Sociology, Indiana University",
Sophie Albrecht,Stockholm University,
Josua Oll,University of Hamburg,
J. Ripollés-Melchor,Complutense University of Madrid,
Reina Granados,"Mind, Brain, and Behavior Research Center, Universidad de Granada, Spain",
Kenneth Chapman,University of Toronto,
Fernando Bellíssimo-Rodrigues,University of São Paulo,
Roberto Barrientos-Medina,Universidad Autónoma de Yucatán,
MIguel Gomez,ETH Zurich,
Micaela Pinho,Portucalense University,x
Ying Jang,Cranfield University,
Sveinung Arnesen,University of Bergen,
Spoorthi Thammaiah,Lamar University Beaumont,
Paul Benjamin Lowry,"Faculty of Business and Economics, The University of Hong Kong",
Fernando Santini,Faculdade SENACRS,x
Roya Kelishadi,Isfahan University of Medical Sciences,
Mohammad Adawi,Bar-Ilan University,
Rafael Burgueño Mengibar,Universidad de Almería / Universidad de Granada,
Francisco José Ruiz,Fundación Universitaria Konrad Lorenz,
Jason Rydberg,University of Massachusetts Lowell,
Francisco J. Ruiz,"Fundación Universitaria Konrad Lorenz, Bogotá",
Adi Lador,"Sackler Faculty of Medicine, Tel Aviv University",
Ben Jann,University of Bern,
David McElhattan,"Northwestern University, Sociology, 1810 Chicago Avenue, Evanston, IL 60208",
Blaine Robbins,New York University Abu Dhabi,x
Yasemin Atik Altınok,"Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey",x
Pete Malcolmson,"Department of Mathematics, Wayne State University, Detroit, MI, USA",
Margita Mesarosova,"Faculty of Arts, Pavol Jozef Safarik University",
Dominika Wach,"TU Dresden, Germany",
Yuqing Zhang,McMaster University,x
Andraž Petrovčič,University of Ljubljana,
Jakub Szewczyk,"Institute of Psychology, Jagiellonian University, Kraków, Poland",
Anne Toussaint,"University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg",x
Nur Ab Majid,"Institute for Public Health, Bangsar, Kuala Lumpur, Malaysia",
Pierre Petitgas,The Institut français de recherche,
Michael Hanslmaier,"Criminological Research Institute of Lower Saxony, Germany",
Mogens Pedersen,Aarhus University,
Sheryl L. Chatfield,Kent State University,
Ruxandra BEJINARU,Universitatea Stefan cel Mare Suceava,
Xiaobing Liu,Peking University,
Rosa Autorino,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,
Mahdi Khademian,"Amirkabir University of Technology, Tehran, Islamic Republic of Iran",
Christian Agyare,"Department of Pharmaceutics, Faculty of Pharmacy and Pharmaceutical Sciences, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana",
Nadia Abuzied,"Federal Ministry of Health, Khartoum, Sudan",
Robert F. Otondo,Mississippi State University,
Jasper Hotho,Copenhagen Business School,x
Matthew J. Witry,University of Iowa,
Julio Cesar Ferro de Guimarães,Faculdade Meridional IMED,
Merete Monrad,Aalborg University,x
G Ramesh,"Department of Oral and Maxillofacial Pathology, Rama Dental College Hospital and Research Centre, Kanpur, Uttar Pradesh, India",
Severin Hennemann,"1Department of Psychosomatic Medicine and Psychotherapy, University Medical Center, Gutenberg University Mainz, Mainz, Germany  2Department of Clinical Psychology, Psychotherapy and Experimental Psychopathology, Institute of Psychology, University of Mainz, Mainz, Germany",
Nasibeh Hajilary,"Department of Chemical Engineering, Golestan University, Gorgan, Iran",
Claus-Peter H. Ernst,Frankfurt University of Applied Sciences,
Reto Wüest,University of Geneva,
Sang-Hyun Kim,Seoul National University College of Medicine,
Silva Umann,UDEA,
Michaela Haase,"Freie Universität Berlin, Berlin, Germany",
Sujaya Gupta,Kantipur Dental College,
Laura L. King,"Department of Criminal Justice, Boise State University, Boise, Idaho, USA",
Annabell Daniel,Freie Universität Berlin,
Frances Y. Kuo,"School of Mathematics and Statistics, University of New South Wales, SydneyAustralia",
Coskun Canan,Humboldt University of Berlin,
Paul A. Jewsbury,University of Melbourne,
Jeffrey Huffman,"Massachusetts General Hospital, Boston, MA, USA",
Asako Miur,"Department of Psychological Science, Kwansei Gakuin University, Nishinomiya, Japan",
Trent Maurer,"Georgia Southern University, Statesboro, USA",
Anthony Clement Igboanugo,University of Benin,
Valentina Di Stasio,University of Oxford,x
Elizabeth MacDougall,Hood College,x
Stelios Karagiannis,"Centre of Planning and Economic Research, Athens, Greece",
Noah Ivers,University of Toronto,
J Djokovic,Department of Pharmacology and Toxicology,
Blaine Robbins,"University of California, Berkeley, United States",x
Eva Bostjancic,University of Ljubljana,
Blaine Robbins,New York University Abu Dhabi,x
Georgios KORONIS,Singapore University of Technology and Design,
Alejandro Salado,Grado Department of Industrial and Systems Engineering Virginia Tech,
Melissa D. Kunkel,Indiana University School of Medicine,
Mahdi Khademian,Amirkabir University of Technology,x
Yu LI,"Advanced Digital Sciences Center, Singapore",
Sarah K. Schäfer,Saarland University,
Yuqing Zhang,"Department of Health Research Methods, Evidence, and Impact, McMaster University, Hamilton, Ontario, Canada Guang'anmen Hospital China Academy of Chinese Medical Science, Xicheng District, Beijing, China",
Rob Grieve,University of the West of England,
Ahmed Ibrahim,University of Chicago,
Selcuk Selcuk,Zeynep Kamil Training and Research Hospital,
Anders Molander,"Centre for the Study of Professions, Oslo and Akershus University College, Norway.",
Li Zheng,Department of Electrical and Information Technology,
Matthew Witry,"Department of Pharmacy Practice and Science, University of Iowa College of Pharmacy, 115 S. Grand Avenue S515 PHAR, Iowa City, IA 52242.",
Ching-Shui Cheng,"University of California, Berkeley",
Siv K. Stafseth,Oslo University Hospital-Rikshospitalet,
Wim Oorschot,University of Leuven,
Taruna Malhotra,"Vaish College of Education, Rohtak",
Anna Forke,Johannes Gutenberg-University Mainz,
Jagdish Chaturvedi,"Apollo Hospital, India",
Davide Marengo,University of Aosta Valley,
Alexander Coppock,"Department of Political Science, Yale University",x
Luzia Helfer,Leiden University,x
Timothy Brown,University of Texas at Dallas,
Alessandra Dosch,University of Geneva,
Anne Toussaint,"Department of Psychosomatic Medicine and Psychotherapy, University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg, Germany",
Tobias Wolbring,"Mannheim,Deutschland",
Leandro Tonetto,Universidade do Vale do Rio dos Sinos,
Huda Taha,"1GU/HIV Medicine, Coventry and Warwickshire Partnership Trust, Coventry, UK",
Nadhrathul Ain Bt Ibrahim,UiTM Shah Alam,
Lawrence Garber,Elon University and Institute of Management Technology,
Rie Chiba,"School of Nursing, Jichi Medical University, 3311-159, Yakushiji, Shimotsuke-shi, Tochigi, 329-0498, Japan",
Katrien De Wilde,Odisee University College,
William Tullar,UNC - Greensboro,
Thomas Foulkes,Engineering University of Illinois at Urbana-Champaign,
Andrew Kirkpatrick,University of Calgary,
Xavier Triado-Ivern,University of Barcelona,
Corbin Reno,"Pennsylvania State University, University Park, PA, USA",
Luzia Helfer,"Department of Political Science, Leiden Univerrsity",
Vineet Chopra,"University of Michigan Medical School, Ann Arbor",
Cheng-Kar Phang,"Department of Psychiatry, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia (UPM), Selangor, Malaysia",
Scott Clifford,University of Houston,x
Peter Anderson,Teesside University,
Melissa L. Rorie,University of Nevada,
Charles Gonson,"IFREMER, UR Lagons, Ecosystèmes et Aquaculture Durable en Nouvelle Calédonie",
Jeffery C Huffman,Massachusetts General Hospital,
Bin Gao,"School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, 212003, China",
Joanne Crawford,"Faculty of Applied Health Sciences, Department of Nursing, Brock University, 1812 Sir Isaac Brock Way, St. Catharines, ON, L2S 3A1, Canada",
Pinar Kuecuekbalaban,Ernst-Moritz-Arndt-University,
Merete Monrad,Aalborg University,
Réka Szigeti,Eötvös Loránd University (ELTE PPK),
Jesus Escalante,"Universitat Politècnica de Catalunya, Spain",
Robert Strader,Capella University,
Alexander Coppock,"Department of Political Science, Yale University, New Haven, CT",
Inbal Nahum-Shani,The University of Michigan-Ann Arbor,
Blaine Robbins,"New York University, University of California, Berkeley Abu Dhabi United Arab Emirates",
Tiago Correia,"School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",
Diana Kontsevaia,"Bentley University Waltham, MA, U.S.A.",
Sergio Herzog,Hebrew University of Jerusalem Israel,
Francisco Ruiz,"Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia",
Catarina Machado Azeredo,"School of Medicine—Federal University of Uberlandia (Faculdade de Medicina—Universidade Federal de Uberlândia), Uberlandia, Brazil",
Jasper Hotho,"Department of International Economics, Government and BusinessCopenhagen Business SchoolFrederiksbergDenmark",
Satomi Doi,"Department of Global Health Promotion, Tokyo Medical and Dental University, Tokyo, Japan, National Center of Neurology and Psychiatry, National Center for Cognitive Behavior Therapy and Research, Tokyo, Japan",
Ali Nejat,Texas Tech University,
Kevin Elliott,"Lyman Briggs College, Department of Fisheries and Wildlife, Department of Philosophy, Michigan State University, East Lansing, Michigan, United States of America",
Rathie Rajendram,Moorfields Eye Hospital NHS Foundation,
Jordan Lamberton,University of the Pacific,
Oliver Hirsch,Philipps University of Marburg,
Arash Rahafar,University of Tübingen,
Jane Wardle,"Health Behaviour Research Centre, Department of Epidemiology and Public Health",
Hervé Caci,"2Hôpitaux Pédiatrique de Nice–CHU Lenval, France",
Unsal Sigri,"Department of Sport Management, Baskent University, Ankara, Turkey",
C.M. Chiejine,University of Benin,
Eduardo Valenzuela Carvallo,University of Chile,
Andrew Callaway,Bournemouth University,
Ahmad Esmaillzadeh,Tehran University of Medical Sciences,
Matthias Sutter,"U0niversity of Cologne, University of Innsbruck, CESifo Munich and IZA Bonn",
Mohammad Hesam Jahanmiri,Islamic Azad University,
Dan Su,"Department of Educational Psychology, University of Wisconsin-Madison, Madison, WI, USA",
Aditi Sharma,"Department of Public Health Dentistry, Surendera Dental College and Research Institute, Sri Ganganagar, Rajasthan, India",
Nataly Agudelo,Catholic University of Pereira,
Ulrich Wagner,Universität Mannheim,
Angelo Sabatini,"The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy",
J. Savulescu,"Oxford Uehiro Centre for Practical Ethics, University of Oxford, Suite 8, Littlegate House, St Ebbes St, Oxford, OX1 1PT, UK",
E Geoffrey Playford,Griffith University,
Appa Gangolu,Indian Institute of Technology Madras,
Thomas Efferth,University of Mainz,
Yishan Li,Beijing Normal University,
Henrik Friis,University of Copenhagen,
Salma Mouline,Mohammed V University,
Yves Le Fur,Centre des Sciences du Goût et de l'Alimentation (CSGA),
P Mukilan,Debre Berhan University,
Ingrid Farreras,Hood College,
Davoud Shojaeizadeh,Tehran University of Medical Sciences,
Amit Acharya,"Marshfield Clinic Research Institute, Marshfield, WI, US",
Lars Johan Materstvedt,"Department of Philosophy and Religious Studies, Faculty of Humanities, Norwegian University of Science and Technology (NTNU), Trondheim, Norway",
Zohreh Sepehri Shamloo,Mashhad Ferdowsi UniversityMashhadIran,
Damla Gökşen,"Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey",x
Pankaj Sharma,National University,
Angel Rollon-Mayardormo,Virgin Macarena University,
Jasmin Tiro,University of Texas Southwestern Medical Center,
Jeffrey Hallam,Kent State University,
Joseph Varghese,"MOSC Medical College, Kolenchery, Kerala",
Pablo Vallejo Medina,"Universitaria Konrad Lorenz, Bogotá",
Joachim K. Winter,University of Munich,
Richard Van Horn,University of Oklahoma,
Sheng Ji Tang,"School of Electrical and Electronic Engineering , The University of Manchester",
Irene Fernández,Universidad de Valencia (Spain),
Nawel Helali,Laboratory of Natural Water Treatment Center of Researches and Water Technologies Soliman Tunisia,
Lea Skorin-Kapov,"Faculty of Electrical Engineering and ComputingUniversity of Zagreb, Zagreb, Croatia",
Andreas Hensel,University of Münster,x
J. Louviere,University of Utah,
Thomas Effertha,"Institute of Pharmacy and Biochemistry, University of Mainz",
Miriam Henz,Faculdade SENACRS,
Ahmad Esmaillzadeh,Tehran University of Medical Sciences,x
Joop Schippers,"Utrecht University School of Economics, Utrecht University",
Sophie Lecheler,"Political Communication, Amsterdam School of Communication Research, University of Amsterdam, The Netherlands.",
Megan Adkins,University of Kansas,
A.E. STEPAN,University of Medicine and Pharmacy of Craiova,
Juan Marin-Garcia,Universitat Politècnica de Catalunya (UPC),
Guo-Hao Huang,Feng Chia University,
Pedro Veiga,Polytechnic Institute of Viseu,
Evgeniy Terentev,"University Higher School of Economics (HSE), Moscow",
Dopsaj Milivoj,"University of Belgrade, Faculty of Sports and Physical Education",
Stefania Troiano,University of Udine,
Nora Moscoloni,"Programa Interdisciplinario de Análisis de Datos, Instituto Rosarino de investigación en Ciencias de la Educación, CONICET y Universidad Nacional de Rosario, Rosario, Argentina",
Caroline Sanders,"Centre for Primary Care, University of Manchester, Manchester, UK",
Tor Korneliussen,"Nord University, Bodø, Norway",
Nagabhusan Mudili,Almanhal,
Martin Huschens,Johannes Gutenberg-Universität Mainz | JGU · Gutenberg School of Management & Economics,
Jürgen Meyerhoff,"Technische Universität Berlin, Institute for Landscape and Environmental Planning, Straße des 17.Juni 145, D−10623 Berlin, Germany",
Lauren Apgar,"Department of Sociology, Indiana University",
Constanze Leineweber,Stockholm University,
Peter Kotzian,Heinrich Heine University Düsseldorf,
J.M. Calvo-Vecino,Complutense University of Madrid,
Juan Sierra,"Mind, Brain, and Behavior Research Center, Universidad de Granada, Spain",
David Hinds,"Real World Evidence & Epidemiology, GlaxoSmithKline",
Didier Pittet,University of Geneva,
Jorge Navarro-Alberto,Universidad Autónoma de Yucatán,
Eula Villar,La Salle Universitat Ramon Llull,
Duje Petricevic,University of Split,
Philip Longhurst,Cranfield University,
Bradley McPherson,University of Hong Kong,
Sutirtha Chatterjee,"University of Nevada, Las Vegas",
Miriam Henz,Faculdade SENACRS,x
Mohammad Motlagh,Ahvaz Jundishapur,
Abdulla Watad,University of Genoa,
Jesús Medina Casaubón,Universidad de Granada,
Juan Carlos Suárez-Falcón,Universidad Nacional de Educación a Distancia,
Kelly M. Socia,University of Massachusetts Lowell,
Juan C. Suárez-Falcón,"Universidad Nacional de Educación a Distancia, Madrid",
Zaza Iakobishvili,"Sackler Faculty of Medicine, Tel Aviv University",
Thomas Hinz,University of Konstanz,
Jill Weinberg,"American Bar Foundation in Chicago, IL",
Damla Gökşen,"Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey",
Frank Okoh,"Department of Mathematics, Wayne State University, Detroit, MI, USA",
Marjan Gorgievski,"Erasmus University Rotterdam, The Netherlands",
Gordon H. Guyatt,McMaster University,
KatjaLozar Manfreda,University of Ljubljana,
Marta Marecka,"Institute of Psychology, Jagiellonian University, Kraków, Poland",
Pascal Jordan,"University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg",x
Muhammad Mohd Yusoff,"Institute for Public Health, Bangsar, Kuala Lumpur, Malaysia",
Mathieu Doray,The Institut français de recherche,
Dirk Baier,"Zurich University of Applied Sciences, Switzerland",
Christian Nielsen,London School of Economics,
Jeffrey S. Hallam,Kent State University,
Xiaoguang Yang,Penn State University,
Cynthia Aristei,University of Perugia,
Mohammad Homayounpour,"Amirkabir University of Technology, Tehran, Islamic Republic of Iran",
Andreas Hensel,"University of Münster, Institute for Pharmaceutical Biology and Phytochemistry, Corrensstrasse 48, D-48149 Münster, Germany",
Merrill Warkentin,Mississippi State University,
Larissa Rabbiosi,Copenhagen Business School,x
Lisa M. Guirguis,University of Alberta,
César Ricardo Maia de Vasconcelos,Universidade Potiguar (UnP),
A Kumar,"Department of Oral and Maxillofacial Pathology, Rama Dental College Hospital and Research Centre, Kanpur, Uttar Pradesh, India",
Manfred Beutel,"Department of Psychosomatic Medicine and Psychotherapy, University Medical Center, Gutenberg University Mainz, Mainz, Germany",
Mashallah Rezakazemi,"Faculty of Chemical and Materials Engineering, Shahrood University of Technology, Shahrood, Iran",
Laura Hoppe,Johannes Gutenberg-Universität Mainz,
Jonas Pontusson,University of Geneva,
Sang-Ho Jo,Hallym University Medical Center,
James Gentry,"University of Nebraska-Lincoln, Lincoln, NE, USA",
Bhageshwar Dhami,Kantipur Dental College,
Jennifer J. Roberts,"Department of Criminology, Indiana University of Pennsylvania, Indiana, Pennsylvania, USA",
Rainer Watermann,Freie Universität Berlin,
Dirk Nuyens,"Department of Computer Science, KU Leuven, Leuven, Belgium",
Naika Foroutan,Humboldt University of Berlin,
Stephen C. Bowden,University of Melbourne,
Elyse Park,"Massachusetts General Hospital, Boston, MA, USA",
Tetsuro Kobayashi,"Department of Media and Communication, City University of Hong Kong, Kowloon, Hong Kong",
TI Okafor,University of Benin,
Heike Solga,Freie Universität Berlin,
Ingrid Farreras,Hood College,x
Jeremy Grimshaw,University of Ottawa,
SM Jankovic,Department of Pharmacology and Toxicology,
Richard Johnson,Indiana Wesleyan University,
Edgar Kiser,University of Washington,x
Pei Zhi CHIA,Singapore University of Technology and Design,
Brownsyne Tucker Edmonds,Indiana University School of Medicine,
Mohammad Mehdi Homayounpour,Amirkabir University of Technology,
Robby T. Tan,"Yale-NUS College and National University of Singapore, Singapore",
Volker Köllner,Center for Internal Medicine and Dermatology Charité – Universitätsmedizin Berlin,
Gordon Guyatt,"Department of Medicine and Department of Health Research Methods, Evidence, and Impact, Hamilton, Ontario, Canada",
Shea Palmer,University of the West of England,
Bruce Shore,McGill University,
Ates Karateke,Istanbul Medeniyet University,
Selome Tesfatsion,Dept. of Comput. Sci. at Umea Univ.,
Lisa Guirguis,"Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta, Edmonton, Alberta, Canada",
Anners Lerdal,University of Oslo,
Tim Reeskens,Tilburg University,
Mona Malhota,Maharshi Dayanand University,
J Sanchez-Paya,"Unidad de Epidemiología, Servicio de Medicina Preventiva, Hospital General Universitario de Alicante, Alicante, Spain",
Pascal Siegers,"GESIS - Leibniz-Institute for the Social Sciences Mannheim, Germany",
Roma Vishwanath,"Apollo Hospital, India",
Renato Miceli,University of Aosta Valley,
Thomas Leeper,"Department of Government, London School of Economics and Political Science",
Daniel Griffith,University of Texas at Dallas,
Martial Van der Linden,University of Geneva,
Pascal Jordan,"Department of Psychosomatic Medicine and Psychotherapy, University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg, Germany",
Pieter Desmet,Delft University of Technology,
Satyajit Das,"1GU/HIV Medicine, Coventry and Warwickshire Partnership Trust, Coventry, UK",
Rosidah Musa,UiTM Shah Alam,
Lubna Nafees,Institute of Management Technology,
Maki Umeda,"Faculty of Community Health Nursing/ Public Health Nursing, St Luke’s, International University, 10-1, Akashi-cho, Chuo-ku, Tokyo, 104-0044, Japan",
Els Clays,Ghent University,
Dwight Gentry,UNC - Greensboro,
Tomas Modeer,SCiBreak AB,
Douglas Hamilton,University of Calgary,
Pilar Presas Maynegre,University of Barcelona,
Erika Poole,"Pennsylvania State University, University Park, PA, USA",
Peter Aelst,"Department of Political Science, University of Antwerb and Leiden Univerrsity",
Sarah Krein,U.S. Department of Veterans Affairs (VA) Ann Arbor Healthcare System,
Firdaus Mukhtar,"Department of Psychiatry, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia (UPM), Selangor, Malaysia",
Jennifer Jerit,Stony Brook University,
Antoni Gual,"Clinic Hospital of Barcelona, Spain",
Michael P. Vandenbergh,Vanderbilt University School of Law,
Frederique Alban,"Univ Brest, Ifremer, Plouzane, France",
Elyse R Park,Massachusetts General Hospital,
Jiangtao Zhai,"School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, 212003, China",
Arlene S. Bierman,"Center for Evidence and Practice Improvement (CEPI), Agency for Health Care Research and Quality, Washington DC, USA University of Toronto, Toronto, ON, Canada",
Silke Schmidt,Ernst-Moritz-Arndt-University,
Tine Fuglsang,Justitsministeriets Forskningskontor,
Róbert Urbán,Eötvös Loránd University (ELTE PPK),
Josep Casanovas,"Universitat Politècnica de Catalunya, Spain",
Kevin Mullinix,"Department of Political Science, University of Kansas, Lawrence, KS",
John Dziak,"The Pennsylvania State University, University Park",
Edgar Kiser,"University of Washington, USA",
Graca Carapinheiro,"School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",
Paul Berger,"Bentley University Waltham, MA, U.S.A.",
Tomer Einat,Bar-Ilan University,
Diana García-Beltrán,"Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia",
Renata Bertazzi Levy,"School of Medicine—University of Sao Paulo (Faculdade de Medicina—Universidade de São Paulo), Sao Paulo, Brazil",
Larissa Rabbiosi,Department of Strategy and InnovationCopenhagen Business SchoolFrederiksbergDenmark,
Masaya Ito,"National Center of Neurology and Psychiatry, National Center for Cognitive Behavior Therapy and Research, Tokyo, Japan",
Daan Liang,Texas Tech University,
Thomas Dietz,"Department of Sociology, Environmental Science and Policy Program, Michigan State University, East Lansing, Michigan, United States of America",
Peter Taylor,Chang'an University,
Clifton Carey,University of Colorado,
Hanna Christiansen,Philipps University of Marburg,
Ali Kasaeian,University of Tübingen,
